Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,2.386059461,,,,
ALB,6.6855517586,7.9676231777,49.872214578999994,18.609714660999998,16.142023774000002,8.952242553,6.7590006817,7.4762652851,4.6351419078,3.8081693874,4.169584314700001,2.7561239014,3.3126529144,2.9232440969,2.6623042462,3.9634439394,,
DZA,,,,,,,,,,,,,1.29178371,1.4987788438,,,,
ASM,,,,,,,,,,,,,,,,,,
AND,,,,,,,,,,1.3281623545999999,,,,,,,,
AGO,,,,,,,,,,,,,,18.993274407,,,,
ATG,,,,,,6.4386525188,8.8422914167,6.2106400686,6.1187527534,4.8287018035000004,3.575003575,12.948488558,19.78239367,18.415994291,18.222819526,6.7636117687,,
ARG,7.8123296522,8.5045211831,9.1418353373,7.2146833501,7.301381687999999,7.1837234427,8.171118228300001,9.1695271095,7.568171900399999,5.8918992202,5.4677761332,5.2583227949,5.2606089413,5.8039550391,3.3946983299,,,
ARM,3.5989380651,3.5937374397000004,3.1899595386,2.9912183618,2.9120332981,2.9582932663,2.8703670482,2.2541159668,2.1564723249,2.7101049692,1.8917439727,2.5734206689,2.5047321547,2.6956042489,2.6904559156,1.4229940312,,
ABW,,,,,,,,,,,,,,,,,,
AUS,1.7992742853,1.7030905143000001,1.7327792111000002,1.5212268796000001,1.8102275641,1.5758425631,1.5994066305,1.6221137152,1.5221682127,1.313183135,1.2693888113,1.3545892978999998,1.2073870496999999,1.2131738408,1.2007871319,1.0283638004,,
AUT,1.0333150865,1.243646099,0.8279440656,0.9653820273999999,0.7514376881999999,1.0243966304,0.8708113972,0.8041510027,0.6146859539,0.7207820901,0.6559610583,0.7373197918000001,0.5415303865,0.5394515288,0.5137617046999999,0.6314301631,,
AZE,,,,,,,,,,,,,2.1426113013,2.1467865289,,2.2421078077,,
BHS,,,,,,24.861330888,14.257010802,17.004522549,16.118581178,13.979837262,16.282667100999998,19.131905229,23.718227458,21.578788051,25.712411115,27.415078877,,
BHR,,,,,,,,,0.4635610139,1.0420388234,0.5518710498,0.8626958011,0.43209003030000004,0.5701476397,,,,
BGD,,,,,,,,,,2.814617525,2.5549847731999997,2.9265174167000003,2.6834438288999998,2.8176023502999996,2.8694795887,2.6820518162,,
BRB,,,,7.5204650656,8.6220469489,7.4763280762,9.3216799905,9.300145454299999,12.24994339,8.1497479135,9.2420416779,12.912175074,9.204102820900001,8.4502902491,6.9660861595000005,11.341560233,,
BLR,9.3437649981,9.468630232799999,10.005505478,10.199451455,9.6363914464,10.071775067999999,9.6805034261,9.9263473059,8.8627391591,8.2555806206,8.3968593914,7.5075512771,6.671307457,5.588444625299999,4.9086676485,,,
BEL,,,,,,2.1128800776,2.7616561476,3.1012212277999995,2.2129244884,2.5586577108,2.1221006799,2.1097866127000002,2.0021334582,1.8864068072,1.744687006,1.6803481233000002,,
BLZ,,,,,,16.366481445999998,24.943292982,33.121785378,24.929304956,28.742427826,28.831060663000002,32.051840368,33.091797328,34.420877096999995,31.761832101,41.395642868,,
BEN,,,,,,,,,,,,,,15.102956205999998,,,,
BMU,,,,6.4231232437,0.0,1.5914950505,3.1689694511,4.7327569887,3.1419370042000003,3.1296455676,4.6779978169,4.663599054800001,4.6510185731,7.733114744,9.2589734885,10.779014798,12.293129677,
BTN,,,,,,3.1509184927,3.2310177706,3.1351893654,0.8007289837,2.3349937733000004,1.6684539347,1.3339637547,1.1618095765,0.9980566411,,,,
BOL,,,,,,,,,,,6.5160432966999995,5.6948464863,7.639881959099999,7.5271878073,6.8860087251,8.9024515881,,
BIH,,,,,,,,,,,1.8513615839,1.9304059563999998,1.7464780681999998,1.7487316396,1.7782812408000002,1.4893026845,,
BWA,,,,,,,,,,,,,,,14.483421277,,,
BRA,,,,,,,,,,22.458389939,22.356943253,22.707707087,22.284736615,22.780757328000004,21.745788969,21.018077424,,
BRN,,,,,,,,,0.5734421727000001,1.4047192949,0.0,0.5400778252,,,,,,
BGR,5.911478128,5.294323916600001,4.854837907,4.6861831641,4.0535309043000005,4.1468079945,3.8753052588999997,3.2308474728,3.1504631882,3.0811972505000003,2.5713534429,2.4188766009,2.3166681129,2.2657450178,1.9886846495,1.9614823576,,
BFA,,,,,,,,,,,,,,17.956517384,,,,
BDI,,,,,,,,,,,,,,21.728771801999997,,,,
KHM,3.5544070036,4.7299652374,6.7597592638999995,6.6159814078,4.752784059800001,4.5874695879,3.2164545914,3.3086232375,3.9081182211,3.8729840114,3.3539024377,,,,,,,
CMR,,,,,,,,,,,,,,19.724099299000002,,,,
CAN,2.0066826628,2.1465595113,1.9631331632,1.8529604796,1.770679088,1.7803942399000001,1.7857583415,1.8605110901,1.7368711680000002,1.9534426374,2.0536862072,1.8573017304,1.801237177,1.8332958573,1.8114087153,1.6286169516999998,,
CPV,,,,,,,,,,,,,11.59365082,,,,,
CYM,,,,2.8,,10.4,5.0,,7.1,11.6,,2.2,4.3,8.4,,,,
CAF,,,,,,,,,,,,,,29.259353731999997,,,,
TCD,,,,,,,,,,,,,,15.825395762000001,,,,
CHL,,,,,,,,,,,3.5333681844,3.5825585747,3.7034244773,3.5009183658999996,3.7155565694,3.1612122413,3.6827880327,
CHN,,,,,,,,2.0433400401,1.8859643656,1.9000391721,1.5884141497,1.3672032765,1.2197669581000001,1.1150548009,1.098726728,0.9997501355,,
COL,69.672633811,71.78689966399999,67.184549888,60.08465495,62.292448546,66.743509722,68.872368591,70.200361574,56.36693299,47.681161992,42.078915427,40.000878788,38.775868513,35.862058790999995,34.6453427,33.392489673,31.423190745,
COM,,,,,,,,,,,,,,12.194527096,,,,
COD,,,,,,,,,,,,,,21.701514981,,,,
COG,,,,,,,,,,,,,,30.758491364,,,,
CRI,5.3042476069,5.3133244965,5.7561639608,5.988379336,6.3943558456,6.3533698376,6.4202714701,6.3185783100999995,7.210779249700001,6.6106258728,7.7736805453999995,8.0103701202,8.2872779279,11.322113237,11.435940219,11.311714579,10.028403231,
CIV,,,,,,,,,,,,,,56.886269647,,,,
HRV,3.5553644131,2.619877656,2.5511362285,2.8585506231999998,2.6651735821,2.4636374875,1.8520088718,1.7913069219,1.5482700102000002,1.8653689093,1.5308467878999998,1.6690006363,1.4008149580000002,1.6069212588,1.1108934667,1.40802529,,
CUB,,,,,,,5.4,5.9,5.7,5.9,6.1,5.1,5.0,4.6,5.0,,,
CUW,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,1.5751039076,1.9369296953,1.4309263245,1.222922842,0.8356538202,1.7423631763,,,
CZE,1.7055359274000002,1.6779799372,1.8162421387,1.6928199238,1.6763585205000002,1.6987393206,2.2883516739,2.291982957,2.2746598869,2.2251269768,1.8198472542,2.2517262259999997,1.9004171707,1.9465453590000001,1.7337604834,,,
