iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,0.0,,,,,7.78715120051914,,,,2.30237029021378,,4.41060530044492,5.44775062376745,4.31494805881274,2.1381341572277,6.35034873998497,5.22976994242023,3.09958982094703,5.10224907139067,4.03177035036084,3.98638649013618,1.97456756970224,3.91728649564447,5.83203732503888,1.93061374210862,,,,,,,
AFE,,,,,,,,,,,,,,,,,,,,,,,15.1,,10.5,10.3,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,4.0715263102304,3.4870927196315,4.20866830452584,6.39391257509462,,,9.97526212023234,6.69241862002357,6.80069468647332,6.74357283538399,7.18039716624779,6.59443908400367,4.02249785795131
AFW,,,,,,,,,,,,,,,,,,,,,,,13.3,,8.1,8.1,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,4.34888145017182,4.83160976473495,,,4.4582353472576,4.10224812286562,,,,,
ALB,,,3.9349355381887,5.78663290827838,3.4001229812339,7.88584943690772,8.31465846776129,40.9992381026143,20.4196832752429,16.5821972034685,4.11688108231861,6.97612769104126,6.91520644292345,5.36697326309711,4.27737992521115,5.07809382866511,3.16309553181125,3.52812681499024,3.15073844161766,2.90048784499383,4.08457542468858,4.89544771627364,5.42840674878889,4.2950952090984,4.64616022595595,2.22030990322398,2.74204347492575,2.01434001712189,2.29404594278858,2.26174791010144,2.12777201167065,2.31196864129807
AND,,,,,,,,,,,,,,,1.29982387386509,,,0.0,1.31483794622313,0.0,0.0,1.41708293477876,0.0,0.0,0.0,0.0,,,,,2.57400257400257,
ARB,,,,,,,,,,,,,,,,,,,,,,,4.7,,4.2,3.8,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,0.78992936734557,0.594737968363439,0.796309785048868,0.651291055974181,0.690361417216923,0.672879663658857,,,,0.69477185266451,0.699881310897077,0.469827240786301
ARG,,,,,,,,,,,,8.34834280792868,9.42324762172539,7.75115556419001,6.04621868694569,5.62572777894156,5.34743773442615,5.36411380031375,5.88720663318102,6.49389936621435,5.80046925893628,6.04758007684834,6.3119206747939,7.24728815890076,7.53781983762934,6.55846615392808,6.01123358722838,5.25938076500315,5.36772568472051,5.15582342098159,5.36681384363525,4.62267855620475
ARM,5.0048649818173,5.14148623781696,8.53252942918357,7.75160278126351,4.65362574504326,3.4910500461586,3.45569997249081,3.05677843675128,2.8698831988397,2.80721060115011,2.87200016032704,2.80868976696971,2.22219538411372,,2.70733541113172,1.9033579829131,2.6102875396933,2.5629137066955,3.25130165191263,3.27227725026832,1.90069351554648,2.42405536952164,2.23028862336636,2.17137714770311,2.49141025758587,2.60543817477592,3.03576444561533,2.45448421994563,1.76270034411436,2.58810044595098,1.85343036991797,2.18561731238222
ASM,,,,,,,,,,,,1.71456004389274,12.0322464204067,5.1777254252207,6.94137144146255,10.4796171446536,7.03760721354739,1.773599964528,5.36763850743865,3.61232525376585,9.11585338061423,9.20640765973117,3.72498440162782,5.66091140673648,5.74531039039384,7.78694907335306,0.0,14.1519923983584,26.8461919709235,0.0,,
ATG,1.57908034360788,4.71446082283056,3.09315021884038,6.07593398497725,7.45467557251908,10.234217374777,4.29811742456804,1.40414926106645,,,6.66178136033575,9.18454372498852,6.47710343934193,6.40413963586062,5.0670754107498,3.75615069676595,13.5977897410857,20.7277892593473,19.2189883605002,18.9274074775089,7.00157535445475,,11.4058900015968,,,,,21.9493190223773,13.0967907405689,3.25674553418769,9.71250971250971,17.1637908377539
AUS,2.19380533895964,1.96860816883803,1.72369323437234,1.88866404838088,1.79719709141623,1.9774483129172,1.94378982624249,1.97715940910201,1.79553800205111,2.04777523448822,1.90346358335012,1.80277135832717,1.87925103528248,1.53307282263429,1.31994610203354,1.28397511557077,1.37293979634563,1.22414721104701,1.22835824555239,1.21416975810599,1.04908593619237,1.10927057676792,1.06910609399713,1.06006540430473,1.03538284526998,0.990754226978393,0.938183172742481,0.84586083389231,0.884735037869462,0.887322993851443,0.860925458639047,0.744567483256587
