filestem,latitude,longitude,altitude,timestamp
IMG_20260102_140536175,36.74463611111111,-3.877013888888889,95.5,2026:01:02 14:05:37
IMG_20260102_141116337,36.746741666666665,-3.8756694444444446,87.6,2026:01:02 14:11:17
IMG_20260102_154009525,36.74803888888889,-3.8714055555555555,81.3,2026:01:02 15:40:10
IMG_20260102_155806099,36.74453333333334,-3.8754444444444447,75.2,2026:01:02 15:58:07
IMG_20260102_155906844,36.744505555555556,-3.875497222222222,74.7,2026:01:02 15:59:08
IMG_20260102_160552064,36.74591388888889,-3.876952777777778,99.0,2026:01:02 16:05:53
IMG_20260103_133414623,36.75172777777778,-3.863855555555556,81.5,2026:01:03 13:34:16
IMG_20260103_133822215,36.752269444444444,-3.862102777777778,70.6,2026:01:03 13:38:23
IMG_20260103_134149197,36.75194444444445,-3.8620972222222223,55.6,2026:01:03 13:41:50
IMG_20260103_134649645,36.75225277777778,-3.861372222222222,68.1,2026:01:03 13:46:50
IMG_20260103_140104862,36.75385277777778,-3.8592305555555555,118.0,2026:01:03 14:01:06
IMG_20260103_140724910,36.75566666666667,-3.8591611111111113,125.6,2026:01:03 14:07:26
IMG_20260103_141922338,36.75821111111111,-3.8550722222222222,151.8,2026:01:03 14:19:23
IMG_20260103_144722196,36.76095,-3.851938888888889,151.8,2026:01:03 14:47:23
IMG_20260103_145028622,36.75996388888889,-3.8514666666666666,176.1,2026:01:03 14:50:29
IMG_20260103_145144161,36.7598,-3.8506833333333335,165.8,2026:01:03 14:51:45
IMG_20260103_145200890,36.75980277777778,-3.850705555555556,172.9,2026:01:03 14:52:02
IMG_20260103_145427119,36.76021111111111,-3.850413888888889,160.3,2026:01:03 14:54:28
IMG_20260103_145615740,36.76070833333333,-3.8500194444444444,152.3,2026:01:03 14:56:17
IMG_20260103_145925813,36.760577777777776,-3.849391666666667,181.8,2026:01:03 14:59:27
IMG_20260103_151528949,36.760575,-3.843875,190.5,2026:01:03 15:15:30
IMG_20260103_163156700,36.75559722222222,-3.8492722222222224,114.199,2026:01:03 16:31:58
IMG_20260103_163211083,36.75561944444444,-3.849286111111111,112.3,2026:01:03 16:32:12
IMG_20260103_165528235,36.757641666666665,-3.862277777777778,125.7,2026:01:03 16:55:29
IMG_20260104_112324915,36.75749166666667,-3.8743527777777778,117.0,2026:01:04 11:23:26
IMG_20260104_134931636,36.741925,-3.8805944444444447,42.0,2026:01:04 13:49:33
IMG_20260104_135715426,36.74110833333334,-3.884138888888889,54.199,2026:01:04 13:57:16
IMG_20260104_135838388,36.741055555555555,-3.8846055555555554,55.0,2026:01:04 13:58:39
IMG_20260104_141327789,36.74428888888889,-3.878991666666667,100.1,2026:01:04 14:13:28
IMG_20260104_142014922,36.744372222222225,-3.8783305555555554,40.8,2026:01:04 14:20:16
IMG_20260104_142159416,36.74631388888889,-3.8789305555555558,394.099,2026:01:04 14:22:00
IMG_20260104_142603641,36.74418055555556,-3.87655,89.0,2026:01:04 14:26:05
IMG_20260104_142617563,36.744305555555556,-3.8768611111111113,72.8,2026:01:04 14:26:18
IMG_20260104_143045619,36.744347222222224,-3.8755611111111112,87.3,2026:01:04 14:30:46
IMG_20260104_143146209,36.74462777777778,-3.8752305555555555,87.0,2026:01:04 14:31:47
IMG_20260104_144619251,36.74796944444444,-3.871363888888889,52.0,2026:01:04 14:46:20
IMG_20260104_145403556,36.750655555555554,-3.8701666666666665,73.6,2026:01:04 14:54:05
IMG_20260105_084034371,36.75138611111111,-3.8707444444444445,82.4,2026:01:05 08:40:35
IMG_20260105_084135025,36.75103611111111,-3.870041666666667,82.3,2026:01:05 08:41:36
IMG_20260105_084550659,36.74964722222222,-3.8678694444444446,80.3,2026:01:05 08:45:52
IMG_20260105_091156546,36.75063055555555,-3.8668722222222223,66.5,2026:01:05 09:11:57
IMG_20260105_125532101,36.74216944444444,-3.887102777777778,54.4,2026:01:05 12:55:33
IMG_20260105_135448224,36.74838888888889,-3.8984305555555556,70.1,2026:01:05 13:54:49
IMG_20260105_135455693,36.748380555555556,-3.8984444444444444,73.3,2026:01:05 13:54:56
IMG_20260105_141706798,36.75188055555556,-3.887311111111111,100.6,2026:01:05 14:17:08
IMG_20260105_151523421,36.751158333333336,-3.879761111111111,78.3,2026:01:05 15:15:25
IMG_20260105_193440458,36.74613055555556,-3.8758694444444446,0.0,2026:01:05 19:34:42
IMG_20260105_194503692,36.74509722222222,-3.876588888888889,72.8,2026:01:05 19:45:05
IMG_20260105_194604164,36.74516388888889,-3.8765972222222222,136.6,2026:01:05 19:46:05
IMG_20260105_195436601,36.745975,-3.876936111111111,144.3,2026:01:05 19:54:38
IMG_20260105_200546773,36.74453333333334,-3.876325,143.4,2026:01:05 20:05:48
IMG_20260105_201236305,36.744225,-3.875186111111111,141.0,2026:01:05 20:12:37
IMG_20260105_201255351,36.744997222222224,-3.8755111111111114,140.9,2026:01:05 20:13:01
IMG_20260106_121008276,36.763125,-3.8771166666666668,107.4,2026:01:06 12:10:10
IMG_20260106_122112928,36.769105555555555,-3.8782305555555556,125.8,2026:01:06 12:21:14
IMG_20260106_123640204,36.773294444444446,-3.8793277777777777,133.5,2026:01:06 12:36:42
IMG_20260106_124643857,36.778625,-3.8805916666666667,182.0,2026:01:06 12:46:45
IMG_20260106_130230770,36.78228611111111,-3.8813833333333334,179.3,2026:01:06 13:02:32
IMG_20260106_131417288,36.78565277777778,-3.883211111111111,192.3,2026:01:06 13:14:18
IMG_20260106_131844872,36.786094444444444,-3.883486111111111,187.6,2026:01:06 13:18:46
IMG_20260106_132632305,36.78698055555555,-3.8835055555555553,196.4,2026:01:06 13:26:33
IMG_20260106_132810881,36.78705,-3.883663888888889,197.6,2026:01:06 13:28:12
IMG_20260106_133122779,36.78751388888889,-3.8837166666666665,196.6,2026:01:06 13:31:24
IMG_20260106_133356988,36.787613888888885,-3.883808333333333,188.2,2026:01:06 13:33:58
IMG_20260106_134512313,36.78821666666666,-3.8837944444444443,199.0,2026:01:06 13:45:13
IMG_20260106_135246056,36.78870833333333,-3.883686111111111,192.9,2026:01:06 13:52:47
IMG_20260106_140516240,36.78948333333333,-3.883586111111111,231.9,2026:01:06 14:05:17
IMG_20260106_140753613,36.789763888888885,-3.8833444444444445,246.3,2026:01:06 14:07:54
IMG_20260106_140907367,36.789938888888884,-3.8832333333333335,254.3,2026:01:06 14:09:08
IMG_20260106_141634596,36.79026666666667,-3.8825583333333333,263.6,2026:01:06 14:16:36
IMG_20260106_141639830,36.79027222222222,-3.882547222222222,266.5,2026:01:06 14:16:41
IMG_20260106_141838751,36.79073333333333,-3.8823250000000002,262.6,2026:01:06 14:18:40
IMG_20260106_141901556,36.790825,-3.882327777777778,259.399,2026:01:06 14:19:03
IMG_20260106_142015275,36.79121388888889,-3.8820194444444445,252.8,2026:01:06 14:20:16
IMG_20260106_145930722,36.800752777777774,-3.881538888888889,456.1,2026:01:06 14:59:32
IMG_20260106_150732166,36.80105833333333,-3.882811111111111,476.0,2026:01:06 15:07:33
IMG_20260106_151054412,36.799825,-3.883036111111111,493.7,2026:01:06 15:10:56
IMG_20260106_151106399,36.79982777777778,-3.8830055555555556,496.3,2026:01:06 15:11:07
IMG_20260106_151712130,36.80022777777778,-3.885,523.7,2026:01:06 15:17:13
IMG_20260106_152018698,36.79892777777778,-3.88575,528.0,2026:01:06 15:20:20
IMG_20260106_152236801,36.79807222222222,-3.8857749999999998,515.799,2026:01:06 15:22:38
IMG_20260106_152750150,36.797174999999996,-3.886636111111111,486.3,2026:01:06 15:27:51
IMG_20260106_153836075,36.7966,-3.8886777777777777,398.5,2026:01:06 15:38:37
IMG_20260106_154005569,36.796638888888886,-3.888897222222222,380.1,2026:01:06 15:40:06
IMG_20260106_154013341,36.796594444444445,-3.8889194444444444,381.3,2026:01:06 15:40:14
IMG_20260106_154735806,36.796191666666665,-3.890416666666667,338.4,2026:01:06 15:47:37
IMG_20260106_155748357,36.793816666666665,-3.893686111111111,314.3,2026:01:06 15:57:49
IMG_20260106_160118541,36.79292777777778,-3.8922,305.4,2026:01:06 16:01:19
IMG_20260106_161005978,36.790866666666666,-3.893097222222222,289.2,2026:01:06 16:10:08
IMG_20260106_161259966,36.79058055555555,-3.8926555555555553,289.2,2026:01:06 16:13:01
IMG_20260106_161320201,36.790527777777775,-3.892777777777778,290.0,2026:01:06 16:13:21
IMG_20260106_162434359,36.790475,-3.8963555555555556,343.9,2026:01:06 16:24:36
IMG_20260106_181520512,36.75096944444444,-3.8787194444444446,172.0,2026:01:06 18:15:21
IMG_20260107_162615997,36.74536388888889,-3.8760222222222223,74.3,2026:01:07 16:26:17
IMG_20260107_162854822,36.74231944444445,-3.8793777777777776,48.199,2026:01:07 16:28:56
IMG_20260108_121327064,36.752627777777775,-3.8688861111111112,77.3,2026:01:08 12:13:28
IMG_20260108_121428977,36.753375,-3.868727777777778,77.2,2026:01:08 12:14:30
IMG_20260108_123547611,36.76329166666667,-3.8650166666666665,187.4,2026:01:08 12:35:49
IMG_20260108_123700268,36.764041666666664,-3.8647472222222223,203.0,2026:01:08 12:37:01
IMG_20260108_124254874,36.765655555555554,-3.865463888888889,230.1,2026:01:08 12:42:56
IMG_20260108_124812883,36.76671388888889,-3.867488888888889,242.1,2026:01:08 12:48:14
IMG_20260108_125631627,36.76756666666667,-3.867252777777778,247.7,2026:01:08 12:56:33
IMG_20260108_130916356,36.76892222222222,-3.867686111111111,322.4,2026:01:08 13:09:17
IMG_20260108_131224697,36.76905,-3.8677194444444445,331.3,2026:01:08 13:12:27
IMG_20260108_133857009,36.771274999999996,-3.867758333333333,430.7,2026:01:08 13:38:58
IMG_20260108_134203506,36.771499999999996,-3.8681916666666667,445.9,2026:01:08 13:42:04
IMG_20260108_134622231,36.77153333333333,-3.8682,452.0,2026:01:08 13:46:23
IMG_20260108_140035998,36.77266111111111,-3.8683694444444443,435.0,2026:01:08 14:00:37
IMG_20260108_140227340,36.77321666666666,-3.868297222222222,450.5,2026:01:08 14:02:29
IMG_20260108_140351624,36.77350833333333,-3.868333333333333,461.0,2026:01:08 14:03:53
IMG_20260108_140740639,36.774519444444444,-3.8684250000000002,474.7,2026:01:08 14:07:42
IMG_20260108_141729071,36.775644444444445,-3.8645944444444447,533.0,2026:01:08 14:17:31
IMG_20260108_141910345,36.77583055555556,-3.864013888888889,546.2,2026:01:08 14:19:11
IMG_20260108_142119408,36.77605,-3.8633972222222224,556.2,2026:01:08 14:21:21
IMG_20260108_142209292,36.776025,-3.863427777777778,559.4,2026:01:08 14:22:10
IMG_20260108_142509097,36.77623333333333,-3.862975,567.1,2026:01:08 14:25:10
IMG_20260108_142835812,36.776608333333336,-3.8624916666666667,585.6,2026:01:08 14:28:37
IMG_20260108_142839087,36.776608333333336,-3.8624916666666667,585.6,2026:01:08 14:28:40
IMG_20260108_142844681,36.77661666666667,-3.862502777777778,586.8,2026:01:08 14:28:46
IMG_20260108_143511472,36.77653611111111,-3.8625166666666666,580.9,2026:01:08 14:35:13
IMG_20260108_143839460,36.77599444444444,-3.862052777777778,559.8,2026:01:08 14:38:41
IMG_20260108_144209914,36.77541111111111,-3.861661111111111,548.8,2026:01:08 14:42:11
IMG_20260108_144604765,36.774480555555556,-3.8617805555555558,534.6,2026:01:08 14:46:06
IMG_20260108_145040623,36.77406388888889,-3.861138888888889,511.6,2026:01:08 14:50:42
IMG_20260108_145047121,36.77406388888889,-3.861138888888889,511.6,2026:01:08 14:50:48
IMG_20260108_145216609,36.773783333333334,-3.8611333333333335,504.6,2026:01:08 14:52:18
IMG_20260108_145720249,36.77328055555555,-3.860863888888889,483.7,2026:01:08 14:57:21
IMG_20260108_145857053,36.77306111111111,-3.860805555555556,473.9,2026:01:08 14:58:58
IMG_20260108_150255498,36.77119166666667,-3.8606083333333334,450.8,2026:01:08 15:02:57
IMG_20260108_150727912,36.77121944444444,-3.8603194444444444,446.2,2026:01:08 15:07:29
IMG_20260108_152853610,36.77005277777778,-3.8578055555555557,380.8,2026:01:08 15:28:55
IMG_20260108_153709715,36.76934166666667,-3.856302777777778,353.9,2026:01:08 15:37:11
IMG_20260108_154525696,36.76855555555556,-3.8552222222222223,317.3,2026:01:08 15:45:27
IMG_20260108_154615386,36.768563888888885,-3.855061111111111,317.8,2026:01:08 15:46:17
IMG_20260108_161331120,36.76506111111111,-3.853816666666667,273.2,2026:01:08 16:13:33
IMG_20260108_163601650,36.76157777777778,-3.851977777777778,183.3,2026:01:08 16:36:03
IMG_20260109_124504726,36.749472222222224,-3.8686611111111113,15.299,2026:01:09 12:45:06
IMG_20260109_124928420,36.748352777777775,-3.8706027777777776,54.3,2026:01:09 12:49:30
IMG_20260109_125211524,36.74821388888889,-3.871363888888889,73.8,2026:01:09 12:52:13
IMG_20260109_125930898,36.74665,-3.8729416666666667,68.3,2026:01:09 12:59:32
IMG_20260109_130310084,36.74593333333333,-3.8736111111111113,64.7,2026:01:09 13:03:11
IMG_20260109_130529681,36.745647222222225,-3.8743861111111113,55.699,2026:01:09 13:05:31
IMG_20260109_130806882,36.74510277777778,-3.875011111111111,61.9,2026:01:09 13:08:08
IMG_20260109_131549440,36.744261111111115,-3.8762777777777777,67.9,2026:01:09 13:15:50
IMG_20260109_155819475,36.746119444444446,-3.876188888888889,0.0,2026:01:09 15:58:20
IMG_20260110_122526850,36.75206388888889,-3.8667583333333333,81.8,2026:01:10 12:25:28
IMG_20260110_130850122,36.75978055555556,-3.857827777777778,149.5,2026:01:10 13:08:51
IMG_20260110_131118642,36.760327777777775,-3.857213888888889,154.4,2026:01:10 13:11:20
IMG_20260110_132307406,36.76130277777778,-3.854213888888889,177.5,2026:01:10 13:23:08
IMG_20260110_132318945,36.76155,-3.8540305555555556,170.7,2026:01:10 13:23:20
IMG_20260110_134300090,36.76833888888889,-3.8527444444444447,241.2,2026:01:10 13:43:01
IMG_20260110_134922845,36.768819444444446,-3.853675,226.2,2026:01:10 13:49:25
IMG_20260110_140044632,36.769083333333334,-3.853486111111111,231.0,2026:01:10 14:00:46
IMG_20260110_140328619,36.76923333333333,-3.8542805555555555,230.7,2026:01:10 14:03:30
IMG_20260110_141322961,36.76994444444444,-3.8547861111111112,307.0,2026:01:10 14:13:24
IMG_20260110_141524947,36.77007222222222,-3.854602777777778,248.7,2026:01:10 14:15:26
IMG_20260110_141659266,36.77035,-3.8546055555555556,249.1,2026:01:10 14:17:00
IMG_20260110_142217936,36.769866666666665,-3.853711111111111,258.0,2026:01:10 14:22:20
IMG_20260110_142646320,36.76938333333333,-3.852447222222222,247.9,2026:01:10 14:26:47
IMG_20260110_143450381,36.766663888888885,-3.849905555555556,242.2,2026:01:10 14:34:51
IMG_20260110_153944592,36.76133611111111,-3.84445,205.2,2026:01:10 15:39:45
IMG_20260110_163514618,36.755375,-3.8489861111111114,124.5,2026:01:10 16:35:15
IMG_20260110_163720667,36.755652777777776,-3.849138888888889,123.199,2026:01:10 16:37:22
IMG_20260110_164032917,36.75563611111111,-3.8495166666666667,125.4,2026:01:10 16:40:34
