birthCity,birthCountry,birthDate,firstName,image,lastName,nationality,nickname
Bobigny,France,1982-11-02T00:00:00.000Z,Charles-Hubert,/img/players/1426.png,Itandje,Cameroon,C. Itandje
Yaounde,France,1990-02-25T00:00:00.000Z,Sammy,/img/players/148630.png,Ndjock,Cameroon,S. Ndjock
Arras,France,1984-03-24T00:00:00.000Z,Benoît,/img/players/2938.png,Assou-Ekotto,Cameroon,B. Assou-Ekotto
Tirana,Albania,1987-07-26T00:00:00.000Z,Panagiotis Giorgios,/img/players/19283.png,Kone,Greece,P. Kone
Neulli-sur-Seine,France,1988-05-10T00:00:00.000Z,Allan Romeo,/img/players/44285.png,Nyom,Cameroon,A. Nyom
Toulouse,France,1992-10-11T00:00:00.000Z,Jean-Daniel,/img/players/199419.png,Akpa Akpro,Côte d'Ivoire,J. Akpa Akpro
Saint-Sébastien-sur-Loire,France,1989-03-31T00:00:00.000Z,Giovanni-Guy Yann,/img/players/61062.png,Sio,Côte d'Ivoire,G. Sio
Oslo,Norway,1990-11-14T00:00:00.000Z,Mathis Gazoa,/img/players/75751.png,Kippersund Bolly,Côte d'Ivoire,M. Bolly
Fribourg,Switzerland,1994-02-14T00:00:00.000Z,Terence,/img/players/161296.png,Kongolo,Netherlands,T. Kongolo
Stockholm,Sweden,1990-11-30T00:00:00.000Z,Miiko Martín,/img/players/73299.png,Albornoz Inola,Chile,Miiko Albornoz
Bochum,Germany,1991-08-08T00:00:00.000Z,Joël Job,/img/players/101189.png,Matip,Cameroon,J. Matip
Buenos Aires,Argentina,1986-06-16T00:00:00.000Z,Néstor Fernando,/img/players/19752.png,Muslera Micol,Uruguay,F. Muslera
Lyon,France,1985-05-15T00:00:00.000Z,Carl,/img/players/1107.png,Medjani,Algeria,C. Medjani
Derventa,Bosnia-Herzegovina,1986-02-05T00:00:00.000Z,Vedran,/img/players/16067.png,Ćorluka,Croatia,V. Ćorluka
Itabuna,Brazil,1987-04-23T00:00:00.000Z,Jorge Sammir,/img/players/20300.png,Cruz Campos,Croatia,Sammir
Osijek,Croatia,1987-04-08T00:00:00.000Z,Dario,/img/players/16529.png,Vidošić,Australia,D. Vidošić
Tashkent,Uzbekistan,1981-07-15T00:00:00.000Z,Osazemwinde Peter,/img/players/2074.png,Odemwingie,Nigeria,P. Odemwingie
Longchamps,Argentina,1986-02-15T00:00:00.000Z,Gabriel Alejandro,/img/players/2971.png,Paletta,Italy,G. Paletta
