birthCity,birthCountry,birthDate,firstName,image,lastName,nationality,nickname
Bobigny,France,1982-11-02T00:00:00.000Z,Charles-Hubert,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1426.png,Itandje,Cameroon,C. Itandje
Yaounde,France,1990-02-25T00:00:00.000Z,Sammy,http://cache.images.globalsportsmedia.com/soccer/players/150x150/148630.png,Ndjock,Cameroon,S. Ndjock
Arras,France,1984-03-24T00:00:00.000Z,Benoît,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2938.png,Assou-Ekotto,Cameroon,B. Assou-Ekotto
Tirana,Albania,1987-07-26T00:00:00.000Z,Panagiotis Giorgios,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19283.png,Kone,Greece,P. Kone
Neulli-sur-Seine,France,1988-05-10T00:00:00.000Z,Allan Romeo,http://cache.images.globalsportsmedia.com/soccer/players/150x150/44285.png,Nyom,Cameroon,A. Nyom
Toulouse,France,1992-10-11T00:00:00.000Z,Jean-Daniel,http://cache.images.globalsportsmedia.com/soccer/players/150x150/199419.png,Akpa Akpro,Côte d'Ivoire,J. Akpa Akpro
Saint-Sébastien-sur-Loire,France,1989-03-31T00:00:00.000Z,Giovanni-Guy Yann,http://cache.images.globalsportsmedia.com/soccer/players/150x150/61062.png,Sio,Côte d'Ivoire,G. Sio
Oslo,Norway,1990-11-14T00:00:00.000Z,Mathis Gazoa,http://cache.images.globalsportsmedia.com/soccer/players/150x150/75751.png,Kippersund Bolly,Côte d'Ivoire,M. Bolly
Fribourg,Switzerland,1994-02-14T00:00:00.000Z,Terence,http://cache.images.globalsportsmedia.com/soccer/players/150x150/161296.png,Kongolo,Netherlands,T. Kongolo
Stockholm,Sweden,1990-11-30T00:00:00.000Z,Miiko Martín,http://cache.images.globalsportsmedia.com/soccer/players/150x150/73299.png,Albornoz Inola,Chile,Miiko Albornoz
Bochum,Germany,1991-08-08T00:00:00.000Z,Joël Job,http://cache.images.globalsportsmedia.com/soccer/players/150x150/101189.png,Matip,Cameroon,J. Matip
Buenos Aires,Argentina,1986-06-16T00:00:00.000Z,Néstor Fernando,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19752.png,Muslera Micol,Uruguay,F. Muslera
Lyon,France,1985-05-15T00:00:00.000Z,Carl,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1107.png,Medjani,Algeria,C. Medjani
Derventa,Bosnia-Herzegovina,1986-02-05T00:00:00.000Z,Vedran,http://cache.images.globalsportsmedia.com/soccer/players/150x150/16067.png,Ćorluka,Croatia,V. Ćorluka
Itabuna,Brazil,1987-04-23T00:00:00.000Z,Jorge Sammir,http://cache.images.globalsportsmedia.com/soccer/players/150x150/20300.png,Cruz Campos,Croatia,Sammir
Osijek,Croatia,1987-04-08T00:00:00.000Z,Dario,http://cache.images.globalsportsmedia.com/soccer/players/150x150/16529.png,Vidošić,Australia,D. Vidošić
Tashkent,Uzbekistan,1981-07-15T00:00:00.000Z,Osazemwinde Peter,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2074.png,Odemwingie,Nigeria,P. Odemwingie
Longchamps,Argentina,1986-02-15T00:00:00.000Z,Gabriel Alejandro,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2971.png,Paletta,Italy,G. Paletta
Sao Bernardo,Brazil,1982-08-28T00:00:00.000Z,Thiago,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2990.png,Motta,Italy,Thiago Motta
Maceió,Brazil,1983-02-26T00:00:00.000Z,Kléper Laveran,http://cache.images.globalsportsmedia.com/soccer/players/150x150/4579.png,Lima Ferreira,Portugal,Pepe
Longvic,France,1982-10-07T00:00:00.000Z,Madjid,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5228.png,Bougherra,Algeria,M. Bougherra
