,age,assists,birthCity,birthCountry,birthDate,clubId,firstName,foot,goals,heightCm,id,image,lastName,nationality,nickname,ownGoals,penaltyGoals,position,teamId,type,weightKg,iso3
0,24,0,Yaoundé,Cameroon,1990-03-27T00:00:00.000Z,5AF524A1-830C-4D75-8C54-2D0BA1F9BE33,Nicolas Alexis Julio,Right,0,180.0,D9AD1E6D-4253-4B88-BB78-0F43E02AF016,http://cache.images.globalsportsmedia.com/soccer/players/150x150/39105.png,N'Koulou N'Doubena,Cameroon,N. N'Koulou,0,0,Defender,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,77.0,CMR
1,26,0,Douala,Cameroon,1987-09-09T00:00:00.000Z,35BCEEAF-37D3-4685-83C4-DDCA504E0653,Alexandre Dimitri,Both,0,180.0,A84540B7-37B6-416F-8C4D-8EAD55D113D9,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2962.png,Song-Billong,Cameroon,A. Song,0,0,Midfielder,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,76.0,CMR
2,28,0,Yaoundé,Cameroon,1986-05-20T00:00:00.000Z,0CA624BC-83F7-4BEB-A99C-C69352E6C10D,Stéphane,Right,0,189.0,A6075C77-134D-4D33-A2A7-0EDE8CFBDC46,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1462.png,M'Bia Etoundi,Cameroon,S. M'Bia,0,0,Midfielder,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,82.0,CMR
3,28,0,Yaoundé,Cameroon,1985-11-28T00:00:00.000Z,0EFD928C-6F64-44E1-A29C-2CD9D02F7863,Landry Joel Tsafack,Right,0,173.0,EC77DFDC-044A-43A5-A18D-8B931652883F,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1217.png,N'Guémo,Cameroon,L. N'Guémo,0,0,Midfielder,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,70.0,CMR
4,31,0,Yaoundé,Cameroon,1983-05-29T00:00:00.000Z,13490DB2-38ED-4F4A-A743-05579038ABD3,Jean II,Right,0,173.0,4360641A-669A-4E94-8A92-2CA776159E71,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2071.png,Makoun,Cameroon,J. Makoun,0,0,Midfielder,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,69.0,CMR
5,32,0,Bafoussam,Cameroon,1982-01-20T00:00:00.000Z,B0ABA58A-838A-402E-A0E4-835BD68497FD,Pierre Achille,Right,0,180.0,A61C31E5-FE46-4F85-A210-5618505FAA52,http://cache.images.globalsportsmedia.com/soccer/players/150x150/3966.png,Webó Kouamo,Cameroon,P. Webó,0,0,Attacker,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,78.0,CMR
6,22,0,Goalkeeper,Cameroon,1992-04-14T00:00:00.000Z,47881BD6-0E6B-4A93-80DB-0DDBE0927F5F,Loïc Maxime,,0,,FDF91E31-A0E2-4231-A801-870B05FC00DC,http://cache.images.globalsportsmedia.com/soccer/players/150x150/246627.png,Feudjou Nguegang,Cameroon,L. Feudjou,0,0,182 cm,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,,CMR
7,31,0,Bobigny,France,1982-11-02T00:00:00.000Z,D8715A78-C213-483F-AF47-369334D05C11,Charles-Hubert,,0,193.0,A1E4B378-9AEA-449A-B723-A69E38AF3529,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1426.png,Itandje,Cameroon,C. Itandje,0,0,Goalkeeper,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,90.0,FRA
8,24,0,Yaounde,France,1990-02-25T00:00:00.000Z,824F8C33-05F6-4538-A106-AB9292D619BF,Sammy,,0,,445CB56C-B38C-4C7D-BD22-69AD38860949,http://cache.images.globalsportsmedia.com/soccer/players/150x150/148630.png,Ndjock,Cameroon,S. Ndjock,0,0,Goalkeeper,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,,FRA
9,32,0,Larissa,Greece,1981-08-26T00:00:00.000Z,9D4C9261-A596-4E13-9A6E-BEBFB310E76E,Vangelis,Right,0,193.0,01FBDB24-7E99-4C29-8646-22EF0BD8DF46,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19243.png,Moras,Greece,V. Moras,0,0,Defender,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,78.0,GRC
